Date,close,EMA20,EMA50,EMA100,RSI,MACDH,CCI,WMR,OBV,TRIX,ATR,ForceIndex,AccDis,Aaron,timeseries
5/30/2013,61.45,-1.69,-1.69,-4.37,-27.77,0.01,-68.62,19.92,19786343177,0.11,1.58,22749163.32,18040735058,-44,62.71
5/31/2013,61.18,-2.07,-2.01,-4.61,-26.29,0.04,-56.13,20.95,19795864101,0.11,1.54,15676011.42,18030234706,-48,62.78
6/3/2013,61.32,-2.04,-1.91,-4.44,-26.93,0.06,-85.57,16.7,19810179846,0.12,1.53,12366870.86,18021011371,-52,62.94
6/4/2013,61.12,-2.32,-2.15,-4.61,-25.68,0.05,-63.69,20.39,19829165011,0.12,1.5,19650175.72,18022219923,-108,63.24
6/5/2013,60.52,-2.94,-2.77,-5.17,-22.03,0,-92.57,31.39,19817091113,0.12,1.46,2638786.8,18008579944,-108,63.41
6/6/2013,59.57,-3.81,-3.69,-6.06,-16.8,-0.09,-153.69,69.04,19766489573,0.11,1.49,-33922758.14,17980945414,-108,63.5
6/7/2013,60.05,-3.31,-3.21,-5.53,-19.55,-0.12,-153.91,56.63,19755328202,0.1,1.49,-19159289.28,17986059677,-108,63.63
6/10/2013,59.63,-3.67,-3.6,-5.89,-17.26,-0.16,-119.62,74.84,19703043947,0.09,1.51,-31184456.28,17963892245,-108,63.65
6/11/2013,59.45,-3.77,-3.76,-6.01,-16.24,-0.19,-161.55,80.15,19651076697,0.08,1.5,-30875794.9,17947039697,-108,63.7
6/12/2013,58.68,-4.4,-4.47,-6.71,-12.14,-0.26,-192.99,97.3,19600377327,0.07,1.49,-32405640.92,17927531367,-108,63.44
6/13/2013,59.22,-3.79,-3.9,-6.11,-15.75,-0.25,-213.04,74.57,19584826452,0.05,1.47,-4890395.36,17924950604,-104,63.08
6/14/2013,58.37,-4.49,-4.68,-6.88,-11.39,-0.29,-249.24,94.58,19535444646,0.04,1.44,-26061501.9,17899478661,-100,62.62
6/17/2013,58.65,-4.1,-4.35,-6.53,-13.31,-0.28,-229.4,87.76,19521541917,0.02,1.4,-13055711.68,17883852796,-96,62.21
6/18/2013,58.62,-4.03,-4.33,-6.49,-13.13,-0.26,-220.76,88.57,19512199020,0,1.35,-10736985.02,17866295610,-92,61.95
6/19/2013,57.36,-5.08,-5.49,-7.66,-6.86,-0.32,-270.7,100,19500566410,-0.01,1.34,-19972514.26,17844572239,-40,61.41
6/20/2013,56.48,-5.69,-6.24,-8.43,-3.2,-0.39,-298.48,95.75,19456763191,-0.04,1.35,-43407014.82,17800220932,-136,60.77
6/21/2013,56.01,-5.87,-6.57,-8.79,-1.39,-0.44,-300.19,88.34,19402672358,-0.06,1.38,-43319624.08,17761850632,-140,60.09
6/24/2013,54.44,-7.02,-7.94,-10.21,3.7,-0.55,-326.14,91.47,19311583485,-0.09,1.44,-84569539.92,17724792053,-144,59.22
6/25/2013,54.45,-6.64,-7.74,-10.06,3.59,-0.59,-286.55,91.02,19245961791,-0.13,1.43,-84047483.04,17688614191,-144,58.38
6/26/2013,53.8,-6.89,-8.18,-10.56,5.5,-0.61,-270.43,95.49,19177495171,-0.16,1.42,-76548272.68,17659301092,-152,57.56
6/27/2013,53.19,-7.08,-8.57,-11.01,7.18,-0.63,-253.43,99.57,19110033030,-0.2,1.4,-71156031.52,17626503531,-156,56.84
6/28/2013,53.58,-6.34,-7.98,-10.47,3.7,-0.57,-234.41,85.79,19095381665,-0.23,1.41,-48392951.5,17605856876,-160,56.29
7/1/2013,55.39,-4.4,-6.05,-8.55,-9.78,-0.38,-171.23,61.15,19124312946,-0.26,1.47,24699613.42,17597657735,-160,56.24
7/2/2013,56.72,-3.07,-4.65,-7.14,-17.36,-0.15,-127.01,38.64,19161029251,-0.27,1.49,55625147.72,17603205939,-160,56.52
7/3/2013,57.05,-2.77,-4.28,-6.73,-19.08,0.04,-104.03,32.67,19228179986,-0.28,1.44,71584498.16,17619984332,-160,56.88
7/5/2013,56.57,-3.23,-4.69,-7.13,-16.68,0.13,-107.76,39.03,19298495732,-0.28,1.42,75305640.5,17646039703,-160,57.08
7/8/2013,56.23,-3.53,-4.95,-7.39,-15.01,0.18,-118.97,43.12,19324977187,-0.27,1.43,58891331.14,17659916868,-160,57.31
7/9/2013,57.27,-2.54,-3.88,-6.28,-20.83,0.27,-94.63,21.76,19349535060,-0.26,1.46,41825164.38,17679573626,-152,57.77
7/10/2013,57.04,-2.8,-4.07,-6.44,-19.57,0.31,-72.47,14.15,19336529881,-0.25,1.42,7442254.58,17684454277,-152,58.19
7/11/2013,57.98,-1.98,-3.13,-5.45,-24.47,0.38,-38.88,2.44,19327800840,-0.23,1.4,18764229.48,17698679516,-148,58.75
7/12/2013,57.86,-2.19,-3.24,-5.53,-23.8,0.41,-27.39,8.02,19318793842,-0.2,1.36,23824159.1,17719067281,-136,59.37
7/15/2013,58,-2.15,-3.1,-5.34,-24.52,0.43,-15.48,9.44,19336802939,-0.18,1.33,30483308.02,17739182219,-136,59.93
7/16/2013,58.39,-1.89,-2.73,-4.91,-26.66,0.44,-9,2.96,19348006438,-0.15,1.3,16361412.64,17753894669,-136,60.61
7/17/2013,58.41,-1.98,-2.72,-4.86,-26.75,0.43,6.36,4.41,19383225612,-0.13,1.25,19773884.34,17772470506,-132,61.29
7/18/2013,58.61,-1.91,-2.54,-4.63,-27.96,0.42,16.44,6.76,19413074738,-0.1,1.21,6745204.66,17774115421,-128,61.87
7/19/2013,57.64,-2.9,-3.5,-5.55,-20.79,0.34,-22.37,29.48,19442472398,-0.08,1.22,-5738861.18,17763524350,-124,62.14
7/22/2013,57.84,-2.73,-3.29,-5.3,-22.06,0.28,-32.76,33.7,19470161450,-0.06,1.18,-5327598.54,17749123566,-120,62.37
7/23/2013,56.79,-3.72,-4.29,-6.29,-15.26,0.16,-74.5,64.84,19468562889,-0.05,1.18,-28909841.44,17708376636,-116,62.18
7/24/2013,59.86,-0.88,-1.29,-3.21,-31.28,0.28,48.51,11.93,19486608414,-0.03,1.36,61940929.84,17670892047,-12,62.58
7/25/2013,59.58,-1.34,-1.63,-3.49,-29.53,0.32,29.13,17.8,19482224549,-0.01,1.32,56373962.66,17638013105,-12,62.75
7/26/2013,59.93,-1.19,-1.35,-3.14,-31.01,0.35,23.63,10.52,19502280672,0.01,1.29,73977950.72,17627626332,-12,62.83
7/29/2013,60.9,-0.5,-0.49,-2.18,-34.81,0.41,79.3,6.93,19524358768,0.04,1.3,84024833.4,17630392991,0,63.05
7/30/2013,61.69,-0.03,0.17,-1.43,-37.58,0.48,109.17,9.96,19580367306,0.07,1.3,115559784.7,17650877805,4,63.51
7/31/2013,61.58,-0.42,-0.06,-1.57,-36.77,0.49,70.42,12.45,19590639104,0.1,1.29,22730269.22,17664160978,8,64.01
8/1/2013,62.17,-0.14,0.38,-1.02,-38.88,0.5,56.49,1.71,19622700826,0.13,1.24,32143100.24,17687488941,8,64.59
8/2/2013,63.01,0.34,1.05,-0.24,-41.62,0.53,58.37,0.7,19658486830,0.16,1.22,40081936.2,17713313997,16,65.2
8/5/2013,64,0.91,1.84,0.68,-44.47,0.57,68.7,2.35,19697792358,0.2,1.22,43752082.18,17743676772,20,65.87
8/6/2013,63.4,-0.01,1.07,0.01,-39.87,0.53,41.65,12.49,19704890889,0.23,1.23,21482837.42,17767400306,20,66.41
8/7/2013,63.36,-0.34,0.87,-0.09,-39.58,0.46,14.15,12.99,19713194038,0.26,1.19,22728752.94,17798011831,16,66.83
8/8/2013,63.23,-0.68,0.61,-0.26,-35.19,0.35,-14.56,20.46,19698391799,0.28,1.18,9355085.98,17818947051,0,67.14
8/9/2013,62.29,-1.72,-0.42,-1.23,-28.61,0.19,-44.33,32.79,19656477733,0.29,1.17,-14686048.18,17817288604,0,67.17
8/12/2013,64.14,-0.13,1.27,0.55,-35.9,0.18,-13.85,12.07,19616841903,0.31,1.23,3181962.58,17818560693,0,67.52
8/13/2013,67.31,2.5,4.16,3.6,-44.29,0.36,62.03,8.44,19638030427,0.33,1.42,153146944.6,17853185455,20,68.46
8/14/2013,68.58,3.15,5.11,4.72,-46.77,0.53,102.79,8.23,19711964367,0.36,1.47,201965470.1,17882144585,20,69.53
8/15/2013,68.5,2.53,4.73,4.49,-46.25,0.58,69.33,9.9,19774187040,0.39,1.5,207158717.5,17919151501,-16,70.45
8/16/2013,69.13,2.61,5.05,4.97,-47.48,0.61,65.76,3.49,19867896347,0.42,1.45,231138144.7,17979091382,-16,71.23
8/19/2013,69.9,2.8,5.49,5.57,-48.93,0.63,67.92,9.33,19968907684,0.45,1.46,217258602.6,18018804186,-4,72.02
8/20/2013,68.95,1.42,4.25,4.48,-42.73,0.53,30.05,20.95,20007906424,0.48,1.46,60253327.5,18014286401,-4,72.31
8/21/2013,69.14,1.21,4.17,4.52,-43.17,0.43,8.7,18.94,20025886830,0.51,1.41,15105596.06,18001791774,-4,72.81
8/22/2013,69.22,0.91,3.97,4.46,-43.38,0.33,-8.97,17.94,20080581162,0.53,1.39,18218889.88,17984832068,-4,73.15
8/23/2013,68.94,0.32,3.45,4.04,-41.39,0.22,-21.99,21.17,20106032666,0.54,1.33,3692879.94,17953339067,-4,73.34
8/26/2013,69.22,0.29,3.48,4.19,-42.21,0.13,-19.87,17.92,20122509223,0.55,1.33,-11423701.22,17919650512,-4,73.55
8/27/2013,67.17,-1.85,1.27,2.04,-28.88,-0.09,-64.76,41.85,20135711743,0.54,1.41,-37905584.96,17887759134,-4,73.33
8/28/2013,67.5,-1.62,1.43,2.27,-30.16,-0.22,-74.95,38.01,20147501106,0.53,1.41,-35924260.24,17866112441,-16,73.07
8/29/2013,67.61,-1.62,1.37,2.28,-30.61,-0.3,-71.51,38.59,20159063037,0.51,1.36,-35602368.22,17831509609,-16,72.82
8/30/2013,66.97,-2.3,0.6,1.56,-26.71,-0.4,-93.8,58.04,20168142114,0.49,1.33,-41233207.4,17788165445,-16,72.46
9/3/2013,67.17,-2.15,0.67,1.67,-27.6,-0.45,-83.17,90.7,20177278013,0.47,1.37,-42615096.52,17739421500,-20,72.2
9/4/2013,68.61,-0.9,1.92,3,-33.61,-0.38,-52.98,54.25,20224863177,0.44,1.42,25870590.4,17702591899,-24,72.12
9/5/2013,68.12,-1.51,1.27,2.4,-30.49,-0.36,-71.49,66.58,20245257999,0.42,1.39,15021247.48,17659418064,-28,71.85
9/6/2013,68.54,-1.24,1.52,2.72,-32.21,-0.33,-83.77,55.95,20271644423,0.4,1.38,21226701.66,17639230140,-32,71.54
9/9/2013,69.68,-0.34,2.45,3.73,-36.45,-0.23,-5.16,17.91,20328675913,0.39,1.38,49290409.5,17633222717,-56,71.26
9/10/2013,68.03,-2.05,0.67,1.98,-26.54,-0.28,-108.54,64.3,20331958908,0.37,1.47,-15142491.6,17624859515,-56,70.75
9/11/2013,64.19,-5.58,-3.15,-1.87,-11.11,-0.55,-422.46,93.61,20273074374,0.34,1.67,-212928526.9,17604219407,-56,69.78
9/12/2013,64.9,-4.66,-2.45,-1.19,-14.14,-0.66,-324.36,82.64,20246158209,0.3,1.64,-192813330.8,17598443676,-56,69.14
9/13/2013,63.78,-5.48,-3.54,-2.32,-10.62,-0.78,-302.6,99.56,20186334136,0.26,1.61,-217016046.6,17565020931,-56,68.33
9/16/2013,61.67,-7.12,-5.53,-4.39,-4.92,-0.96,-333.42,95.22,20082061777,0.21,1.67,-294274857.9,17511625455,-156,67.25
9/17/2013,62.42,-6.02,-4.69,-3.62,-8.2,-0.98,-277.28,86.66,20034900826,0.16,1.68,-218234557.5,17479709451,-156,66.52
9/18/2013,63.75,-4.49,-3.34,-2.3,-13.71,-0.86,-207.2,71.24,20055497187,0.11,1.67,-14818709.94,17472802794,-156,66.07
9/19/2013,64.84,-3.33,-2.26,-1.24,-17.79,-0.68,-158.92,58.68,20076090609,0.07,1.67,-7217929.18,17455908032,-156,65.94
9/20/2013,64.14,-3.9,-2.95,-1.95,-15.51,-0.57,-159.04,66.74,20076788999,0.03,1.68,-14930618.56,17426106923,-156,65.74
9/23/2013,67.46,-0.78,0.25,1.29,-26.2,-0.27,-69.61,28.47,20142870735,0.01,1.86,169007280.6,17417372992,-156,66.26
9/24/2013,67.24,-1.16,-0.07,0.99,-25.43,-0.08,-61.6,31,20170777943,0,1.8,150164464.5,17390915033,-156,66.79
9/25/2013,66.16,-2.28,-1.21,-0.14,-21.65,-0.02,-90.77,43.48,20160006074,0,1.76,102479963.1,17339566457,-152,66.9
9/26/2013,66.83,-1.71,-0.63,0.47,-23.75,0.06,-79.49,35.75,20140940854,-0.01,1.7,88484645.92,17289634205,-136,67.19
9/27/2013,66.33,-2.25,-1.19,-0.08,-21.95,0.07,-94.07,41.01,20145309363,-0.01,1.64,107174023.8,17267025996,-136,67.41
9/30/2013,65.48,-3.06,-2.06,-0.97,-18.9,0.02,-117.34,40.57,20098709783,-0.01,1.61,-30001397.38,17235109799,-136,67.41
10/1/2013,67.08,-1.57,-0.55,0.57,-24.3,0.09,-76.18,18.01,20088010553,-0.01,1.62,2342561.42,17229120902,-136,67.77
10/2/2013,67.31,-1.46,-0.41,0.73,-25.03,0.14,-54.75,14.79,20107609013,0,1.58,22785833.06,17244998729,-100,68.35
10/3/2013,66.43,-2.37,-1.34,-0.2,-21.62,0.11,-66.05,27.17,20099217271,0.01,1.59,661492.76,17252216608,-100,68.71
10/4/2013,66.37,-2.45,-1.45,-0.31,-21.4,0.08,-80.62,28.09,20089284451,0.01,1.54,5610232.54,17265284842,-100,69.14
10/7/2013,67.05,-1.86,-0.84,0.31,-23.94,0.1,-31.42,25.27,20107965486,0.01,1.53,27288695.06,17277617219,-100,69.87
10/8/2013,66.08,-2.81,-1.85,-0.7,-19.9,0.04,-54.06,51.67,20094416431,0.02,1.52,-15198536.14,17262749268,-100,70.25
10/9/2013,66.88,-2.07,-1.11,0.05,-23.04,0.06,-56.95,33.39,20081494248,0.02,1.51,-6326005.74,17252746507,-100,70.39
10/10/2013,67.32,-1.73,-0.75,0.43,-24.69,0.09,-24.62,32.31,20098630707,0.03,1.46,13921782.54,17251092176,-100,70.64
10/11/2013,67.77,-1.41,-0.39,0.81,-26.41,0.13,-22.44,12.63,20142089629,0.03,1.44,20685526.24,17253474728,-100,70.83
10/14/2013,68.23,-1.11,-0.04,1.19,-28.15,0.17,10.51,6.65,20183029587,0.04,1.43,16199416.72,17269393426,-100,70.79
10/15/2013,68.61,-0.91,0.23,1.49,-29.57,0.21,62.02,12.03,20254509783,0.06,1.39,36387443.48,17298308984,-96,70.82
10/16/2013,68.96,-0.76,0.45,1.75,-30.89,0.25,77.17,5.05,20323459538,0.07,1.33,28568324.16,17317698321,8,70.97
10/17/2013,69.44,-0.51,0.79,2.13,-32.71,0.28,78.8,0.92,20391159328,0.08,1.29,28638243.48,17348731771,12,71.26
10/18/2013,70.07,-0.14,1.26,2.65,-34.99,0.33,107.61,1.19,20459998936,0.1,1.24,31688685.76,17381052843,16,71.53
10/21/2013,71.85,1.23,2.82,4.29,-40.5,0.44,141.69,6.39,20535646942,0.12,1.31,61104580.5,17415925104,20,72.44
10/22/2013,71.64,0.67,2.4,3.95,-39.1,0.48,84.45,17.1,20568601036,0.15,1.43,49384830.74,17455452615,20,73.21
10/23/2013,72.36,1,2.89,4.52,-41.2,0.51,73.91,6.96,20604685430,0.18,1.39,56433760.62,17505575982,16,73.94
10/24/2013,73.36,1.56,3.64,5.36,-43.82,0.56,69.09,1.03,20647326298,0.2,1.4,69393202.6,17561499023,16,74.84
10/25/2013,72.51,0.39,2.57,4.37,-38.11,0.5,40.4,13.23,20658559888,0.23,1.38,45926402.18,17592579378,20,75.41
10/28/2013,73.07,0.61,2.91,4.78,-39.77,0.46,21.85,6.1,20677407754,0.26,1.36,25880858.88,17632521949,-4,75.9
10/29/2013,71.18,-1.41,0.87,2.78,-28.69,0.28,-10.94,41.73,20691169825,0.27,1.51,-28383940.54,17641927085,4,76.08
10/30/2013,72.36,-0.46,1.87,3.83,-32.67,0.21,-22.28,26.53,20706953170,0.29,1.52,-18997005.62,17647855339,4,76.45
10/31/2013,72.04,-0.96,1.38,3.39,-30.98,0.12,-27.43,33.17,20689741974,0.29,1.47,-42423472.08,17629267528,4,76.58
11/1/2013,71.66,-1.47,0.86,2.9,-28.9,0.03,-48.97,43.95,20675675074,0.3,1.46,-33310141.48,17623139908,4,76.54
11/4/2013,72.62,-0.71,1.65,3.73,-32.37,0.01,-37.5,31.23,20646322239,0.3,1.44,-36981014.38,17609421774,4,76.68
11/5/2013,72.43,-1.07,1.29,3.41,-31.29,-0.02,-34.98,34.87,20635480672,0.3,1.39,20501673.16,17619748975,-24,76.59
11/6/2013,72.22,-1.37,0.95,3.1,-27.55,-0.1,-62.17,54.65,20595770945,0.3,1.37,-7519335.62,17619163391,-24,76.36
11/7/2013,71.02,-2.53,-0.32,1.82,-21.29,-0.23,-99.74,85.71,20556696347,0.29,1.38,-19006691.92,17613152983,-24,75.86
11/8/2013,72.17,-1.46,0.71,2.86,-26.2,-0.24,-94.08,59.87,20545323639,0.28,1.37,2335785.36,17620128014,-24,75.59
11/11/2013,71.96,-1.72,0.39,2.56,-25.08,-0.26,-101.81,75.18,20510354010,0.26,1.35,-11859961.54,17618251837,-24,75.27
11/12/2013,72.09,-1.65,0.41,2.59,-25.69,-0.26,-91.82,71.6,20498873674,0.25,1.32,-7992329.94,17617276390,-24,74.97
11/13/2013,72.18,-1.63,0.4,2.58,-26.1,-0.25,-109.67,69.3,20508416711,0.24,1.28,108466.86,17622165653,-24,74.68
11/14/2013,73.26,-0.71,1.33,3.55,-30.85,-0.18,-16.83,41.27,20545203555,0.23,1.28,31113670.16,17649765818,-32,74.62
11/15/2013,72.8,-1.27,0.75,2.98,-28,-0.16,-26.44,53.07,20552137635,0.22,1.23,7814419.6,17652834668,-32,74.49
11/18/2013,71.9,-2.17,-0.23,2,-22.68,-0.2,-131.43,63.02,20558197397,0.21,1.24,-860246.68,17641667444,-36,74.34
11/19/2013,72.03,-2.06,-0.18,2.04,-23.35,-0.22,-157.27,57.57,20564481232,0.2,1.2,-889033.6,17627487120,-40,74.2
