Date,close,EMA20,EMA50,EMA100,RSI,MACDH,CCI,WMR,OBV,TRIX,ATR,ForceIndex,AccDis,Aaron,timeseries
1/24/2011,43.57,47.73,46.34,44.13,56.04,-0.18,0.44,-49.34,21253137096,0.24,0.93,220028871.9,17355558510,80,49.04
1/25/2011,44.13,47.83,46.44,44.22,59.46,-0.13,50.24,-31.86,21389725409,0.23,0.93,77104103,17490560691,80,49.08
1/26/2011,44.48,47.96,46.54,44.32,61.47,-0.08,89.08,-21.02,21516307110,0.22,0.91,44316253.3,17509100653,80,49.17
1/27/2011,44.39,48.06,46.64,44.41,60.62,-0.05,79.65,-23.85,21445138181,0.22,0.86,-6511957,17466923501,48,49.2
1/28/2011,43.38,48.06,46.7,44.48,52.07,-0.1,11.37,-55.31,21297340252,0.21,0.91,-150162695.5,17389047996,48,48.96
1/31/2011,43.84,48.1,46.77,44.56,55.16,-0.11,0.4,-41.06,21391549097,0.2,0.91,43345489.7,17459618484,48,48.76
2/1/2011,44.65,48.21,46.87,44.66,60.07,-0.06,78.77,-15.8,21498088258,0.2,0.91,86935954.8,17537870651,48,48.8
2/2/2011,44.55,48.31,46.96,44.75,59.2,-0.04,78.65,-18.94,21433431162,0.19,0.86,-6562695.2,17531774943,48,48.82
2/3/2011,44.43,48.38,47.04,44.83,58.08,-0.04,37.64,-22.83,21335117488,0.19,0.86,-12358028.8,17602448098,48,48.83
2/4/2011,44.86,48.49,47.14,44.93,60.85,-0.01,88.44,-9.29,21415472295,0.19,0.83,35131121.9,17672718889,48,48.9
2/7/2011,45.63,48.66,47.26,45.03,65.21,0.05,164.72,-5.14,21536565528,0.19,0.84,93108586.9,17734685511,100,49.13
2/8/2011,46.11,48.86,47.4,45.15,67.6,0.11,187.35,-1.11,21631604717,0.19,0.81,45086590.9,17811687777,100,49.53
2/9/2011,46.53,49.08,47.55,45.27,69.61,0.16,192.75,-2.59,21752152043,0.2,0.8,50991519.2,17883215520,64,49.97
